Territorio;Età;Value;
Friuli-Venezia Giulia;46;19278;
Emilia-Romagna;46;73835;
Toscana;46;59237;
Umbria;46;13618;
Marche;46;23501;
Lazio;46;95524;
Abruzzo;46;19756;
Molise;46;4471;
Campania;46;87633;
Puglia;46;61634;
Basilicata;46;8121;
Calabria;46;26995;
Sicilia;46;73020;
Sardegna;46;26777;
Piemonte;47;66988;
Valle d'Aosta / Vallée d'Aoste;47;1992;
Liguria;47;22955;
Lombardia;47;162975;
Provincia Autonoma Bolzano / Bozen;47;7966;
Provincia Autonoma Trento;47;8344;
Veneto;47;78571;
Friuli-Venezia Giulia;47;19087;
Emilia-Romagna;47;73801;
Toscana;47;59478;
Umbria;47;13519;
Marche;47;23201;
Lazio;47;95402;
Abruzzo;47;19555;
Molise;47;4292;
Campania;47;86287;
Puglia;47;59755;
Basilicata;47;7998;
Calabria;47;26984;
Sicilia;47;71715;
Sardegna;47;26772;
Piemonte;48;68597;
Valle d'Aosta / Vallée d'Aoste;48;1999;
Liguria;48;24223;
Lombardia;48;164258;
Provincia Autonoma Bolzano / Bozen;48;8350;
Provincia Autonoma Trento;48;8225;
Veneto;48;79729;
Friuli-Venezia Giulia;48;19684;
Emilia-Romagna;48;74007;
Toscana;48;59950;
